scope,city,zone,group_id,start_time,end_time,duration_minutes,duration_hours
city_aggregated,Laayoune,all_zones,2,2022-09-14 19:00:00,2022-09-14 22:50:00,240,4.0
city_aggregated,Laayoune,all_zones,4,2022-09-15 19:00:00,2022-09-15 20:40:00,110,1.83
city_aggregated,Laayoune,all_zones,6,2022-09-16 19:10:00,2022-09-16 19:40:00,40,0.67
city_aggregated,Laayoune,all_zones,8,2022-09-16 20:00:00,2022-09-16 22:20:00,150,2.5
city_aggregated,Laayoune,all_zones,10,2022-09-18 19:40:00,2022-09-18 19:40:00,10,0.17
city_aggregated,Laayoune,all_zones,12,2022-09-18 20:30:00,2022-09-18 21:20:00,60,1.0
city_aggregated,Laayoune,all_zones,14,2022-09-19 19:00:00,2022-09-19 21:50:00,180,3.0
city_aggregated,Laayoune,all_zones,16,2022-09-20 19:00:00,2022-09-20 20:20:00,90,1.5
city_aggregated,Laayoune,all_zones,18,2022-09-20 20:40:00,2022-09-20 20:40:00,10,0.17
city_aggregated,Laayoune,all_zones,20,2022-09-21 19:00:00,2022-09-21 21:40:00,170,2.83
city_aggregated,Laayoune,all_zones,22,2022-09-22 18:50:00,2022-09-22 22:20:00,220,3.67
city_aggregated,Laayoune,all_zones,24,2022-09-23 19:00:00,2022-09-23 19:00:00,10,0.17
city_aggregated,Laayoune,all_zones,26,2022-09-23 20:00:00,2022-09-23 22:00:00,130,2.17
city_aggregated,Laayoune,all_zones,28,2022-09-25 13:00:00,2022-09-25 13:00:00,10,0.17
city_aggregated,Laayoune,all_zones,30,2022-09-25 19:30:00,2022-09-25 19:40:00,20,0.33
city_aggregated,Laayoune,all_zones,32,2022-09-25 20:00:00,2022-09-25 20:20:00,30,0.5
city_aggregated,Laayoune,all_zones,34,2022-09-25 20:50:00,2022-09-25 21:10:00,30,0.5
city_aggregated,Laayoune,all_zones,36,2022-09-25 21:30:00,2022-09-25 21:30:00,10,0.17
city_aggregated,Laayoune,all_zones,38,2022-09-26 08:30:00,2022-09-26 09:10:00,50,0.83
city_aggregated,Laayoune,all_zones,40,2022-09-26 12:20:00,2022-09-26 13:00:00,50,0.83
city_aggregated,Laayoune,all_zones,42,2022-09-26 18:10:00,2022-09-26 19:10:00,70,1.17
city_aggregated,Laayoune,all_zones,44,2022-09-27 19:00:00,2022-09-27 19:20:00,30,0.5
city_aggregated,Laayoune,all_zones,46,2022-09-28 18:50:00,2022-09-28 19:20:00,40,0.67
city_aggregated,Laayoune,all_zones,48,2022-09-29 21:20:00,2022-09-29 21:20:00,10,0.17
city_aggregated,Laayoune,all_zones,50,2022-09-30 18:50:00,2022-09-30 19:40:00,60,1.0
city_aggregated,Laayoune,all_zones,52,2022-09-30 20:10:00,2022-09-30 20:50:00,50,0.83
city_aggregated,Laayoune,all_zones,54,2022-10-02 12:50:00,2022-10-02 13:20:00,40,0.67
city_aggregated,Laayoune,all_zones,56,2022-10-02 18:50:00,2022-10-02 20:20:00,100,1.67
city_aggregated,Laayoune,all_zones,58,2022-10-02 20:40:00,2022-10-02 21:50:00,80,1.33
city_aggregated,Laayoune,all_zones,60,2022-10-03 18:40:00,2022-10-03 19:40:00,70,1.17
city_aggregated,Laayoune,all_zones,62,2022-10-04 12:00:00,2022-10-04 12:00:00,10,0.17
city_aggregated,Laayoune,all_zones,64,2022-10-04 12:20:00,2022-10-04 12:50:00,40,0.67
city_aggregated,Laayoune,all_zones,66,2022-10-04 18:40:00,2022-10-04 21:30:00,180,3.0
city_aggregated,Laayoune,all_zones,68,2022-10-05 18:40:00,2022-10-05 19:20:00,50,0.83
city_aggregated,Laayoune,all_zones,70,2022-10-06 10:20:00,2022-10-06 14:30:00,260,4.33
city_aggregated,Laayoune,all_zones,72,2022-10-06 18:40:00,2022-10-06 19:50:00,80,1.33
city_aggregated,Laayoune,all_zones,74,2022-10-06 21:20:00,2022-10-06 21:20:00,10,0.17
city_aggregated,Laayoune,all_zones,76,2022-10-08 13:00:00,2022-10-08 13:00:00,10,0.17
city_aggregated,Laayoune,all_zones,78,2022-10-08 18:30:00,2022-10-08 19:10:00,50,0.83
city_aggregated,Laayoune,all_zones,80,2022-10-10 18:40:00,2022-10-10 19:20:00,50,0.83
city_aggregated,Laayoune,all_zones,82,2022-10-11 18:40:00,2022-10-11 19:20:00,50,0.83
city_aggregated,Laayoune,all_zones,84,2022-10-11 19:40:00,2022-10-11 21:40:00,130,2.17
city_aggregated,Laayoune,all_zones,86,2022-10-12 18:30:00,2022-10-12 19:50:00,90,1.5
city_aggregated,Laayoune,all_zones,88,2022-10-12 20:20:00,2022-10-12 20:40:00,30,0.5
city_aggregated,Laayoune,all_zones,90,2022-10-13 18:40:00,2022-10-13 18:40:00,10,0.17
city_aggregated,Laayoune,all_zones,92,2022-10-14 00:00:00,2022-10-14 00:00:00,10,0.17
city_aggregated,Laayoune,all_zones,94,2022-10-14 18:30:00,2022-10-14 19:20:00,60,1.0
city_aggregated,Laayoune,all_zones,96,2022-10-14 21:40:00,2022-10-14 21:40:00,10,0.17
city_aggregated,Laayoune,all_zones,98,2022-10-14 22:10:00,2022-10-14 22:10:00,10,0.17
city_aggregated,Laayoune,all_zones,100,2022-10-15 09:40:00,2022-10-15 09:50:00,20,0.33
city_aggregated,Laayoune,all_zones,102,2022-10-15 12:40:00,2022-10-15 13:20:00,50,0.83
city_aggregated,Laayoune,all_zones,104,2022-10-15 18:40:00,2022-10-15 21:40:00,190,3.17
