city,zone,missing_count,total_rows,missing_rate_pct
Laayoune,zone1,0,88890,0.0
Laayoune,zone2,0,88890,0.0
Laayoune,zone3,0,88890,0.0
Laayoune,zone4,0,88890,0.0
Laayoune,zone5,0,88890,0.0
Boujdour,zone1,0,88890,0.0
Boujdour,zone2,0,88890,0.0
Boujdour,zone3,0,88890,0.0
Foum eloued,zone1,0,88890,0.0
Foum eloued,zone2,0,88890,0.0
Foum eloued,zone3,0,88890,0.0
Foum eloued,zone4,0,88890,0.0
Foum eloued,zone5,0,88890,0.0
Foum eloued,zone6,0,88890,0.0
Foum eloued,zone7,0,88890,0.0
Marrakech,zone1,0,17501,0.0
Marrakech,zone2,0,17501,0.0
