count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,file,signal
16220,-4.714056720098644,397.29368189170714,-1181,-174.0,3.0,189.0,1181,0.07504797556825361,0.6780109324452952,anomaly_labels,MotorData.ActCurrent
16220,207315.83292231814,107775.85635392134,22011,140012.0,229013.0,266191.0,389992,-0.06263995736100561,-0.9393346506535698,anomaly_labels,MotorData.ActPosition
16220,139.40024660912454,57928.03347411583,-422617,-53352.75,0.0,57275.0,110954,-0.15666897440701083,0.18320047085453073,anomaly_labels,MotorData.ActSpeed
16220,-1.5876695437731196,513.0808884061,-3045,0.0,0.0,0.0,6090,0.12696877946327687,8.111442794254838,anomaly_labels,MotorData.IsAcceleration
16220,-1.811960542540074,89.00744118999962,-256,-38.0,0.0,41.0,260,0.052892080109737186,0.6501654590740911,anomaly_labels,MotorData.IsForce
16220,-4.714056720098644,397.29368189170714,-1181,-174.0,3.0,189.0,1181,0.07504797556825361,0.6780109324452952,state_machine_labels,MotorData.ActCurrent
16220,207315.83292231814,107775.85635392134,22011,140012.0,229013.0,266191.0,389992,-0.06263995736100561,-0.9393346506535698,state_machine_labels,MotorData.ActPosition
16220,139.40024660912454,57928.03347411583,-422617,-53352.75,0.0,57275.0,110954,-0.15666897440701083,0.18320047085453073,state_machine_labels,MotorData.ActSpeed
16220,-1.5876695437731196,513.0808884061,-3045,0.0,0.0,0.0,6090,0.12696877946327687,8.111442794254838,state_machine_labels,MotorData.IsAcceleration
16220,-1.811960542540074,89.00744118999962,-256,-38.0,0.0,41.0,260,0.052892080109737186,0.6501654590740911,state_machine_labels,MotorData.IsForce
7424,-87.81734913793103,646.3663433858338,-1159,-671.0,-46.0,384.0,1163,-0.2139445499937709,-1.1272200138010622,lineardrive,MotorData.ActCurrent
7424,7.84375,47689.132194313264,-253750,-3103.0,0.0,0.0,331267,0.09728573605254186,0.8325249483776158,lineardrive,MotorData.ActSpeed
7424,11.4609375,525.8748648912916,-3045,0.0,0.0,0.0,3045,-0.027283525141164246,5.556526909939386,lineardrive,MotorData.IsAcceleration
7424,-19.954741379310345,141.8294845700264,-256,-146.0,-11.0,84.0,254,-0.2085972681598771,-1.1336985577300254,lineardrive,MotorData.IsForce
7040,43.42400568181818,391.326780875969,-1016,-200.0,138.0,354.0,1104,-0.17538344803715725,-0.7435325439181715,normal,MotorData.ActCurrent
7040,12.934659090909092,54686.484654802756,-104226,0.0,0.0,0.0,102689,-0.006147160619612125,-0.6873353916278502,normal,MotorData.ActSpeed
7040,10.088210227272727,496.6221531884871,-3016,0.0,0.0,0.0,3016,0.17115702018008602,7.867779294688736,normal,MotorData.IsAcceleration
7040,8.437926136363636,85.92140416323984,-244,-44.0,30.0,78.0,217,-0.23544454737731216,-0.6893044924400917,normal,MotorData.IsForce
8476,-0.5357479943369514,359.80174681484755,-1012,-193.0,-140.0,321.0,1025,0.09431976398195112,-0.5112978059395061,pressure,MotorData.ActCurrent
8476,117.27619159981123,47298.38886033075,-102312,0.0,0.0,0.0,108170,0.019217625716957086,0.08851312432236602,pressure,MotorData.ActSpeed
8476,-3.7396177442189713,430.0617657959967,-3016,0.0,0.0,0.0,3016,-0.04047258180118814,10.458303226245935,pressure,MotorData.IsAcceleration
8476,-0.20847097687588484,78.91024484319786,-243,-42.0,-30.0,70.0,249,0.07615202511305157,-0.4317307143437481,pressure,MotorData.IsForce
